

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2017-01-18,64,64,0,0.00,5006700,
FREN,2017-01-17,59,64,5,8.47,21101200,
FREN,2017-01-16,60,59,-1,-1.67,401000,
FREN,2017-01-13,57,60,3,5.26,6508700,
FREN,2017-01-12,57,57,0,0.00,602900,
FREN,2017-01-11,60,57,-3,-5.00,1668900,
FREN,2017-01-10,60,60,0,0.00,2414300,
FREN,2017-01-09,57,60,3,5.26,9001900,
FREN,2017-01-06,56,57,1,1.79,10269900,
FREN,2017-01-05,55,56,1,1.82,142100,
FREN,2017-01-04,55,55,0,0.00,788800,
FREN,2017-01-03,53,55,2,3.77,212400,
FREN,2016-12-30,54,53,-1,-1.85,515100,
FREN,2016-12-29,54,54,0,0.00,41900,
FREN,2016-12-28,54,54,0,0.00,3329700,
FREN,2016-12-27,55,54,-1,-1.82,585600,
FREN,2016-12-23,54,55,1,1.85,625600,
FREN,2016-12-22,56,54,-2,-3.57,785400,
FREN,2016-12-21,56,56,0,0.00,2095800,
FREN,2016-12-20,55,56,1,1.82,989800,
FREN,2016-12-19,56,55,-1,-1.79,969100,
FREN,2016-12-16,56,56,0,0.00,1265700,
FREN,2016-12-15,56,56,0,0.00,2288200,
FREN,2016-12-14,56,56,0,0.00,318600,
FREN,2016-12-13,57,56,-1,-1.75,4465000,
FREN,2016-12-09,58,57,-1,-1.72,162400,
FREN,2016-12-08,57,58,1,1.75,242300,
FREN,2016-12-07,57,57,0,0.00,1173400,
FREN,2016-12-06,57,57,0,0.00,4000500,
FREN,2016-12-05,57,57,0,0.00,755300,
FREN,2016-12-02,57,57,0,0.00,364300,
FREN,2016-12-01,57,57,0,0.00,685100,
FREN,2016-11-30,57,57,0,0.00,411800,
FREN,2016-11-29,57,57,0,0.00,631100,
FREN,2016-11-28,58,57,-1,-1.72,505700,
FREN,2016-11-25,57,58,1,1.75,643300,
FREN,2016-11-24,58,57,-1,-1.72,554800,
FREN,2016-11-23,57,58,1,1.75,8554700,
FREN,2016-11-22,54,57,3,5.56,2326500,
FREN,2016-11-21,54,54,0,0.00,3095400,
FREN,2016-11-18,55,54,-1,-1.82,394300,
