

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2019-05-27,1895,2000,105,5.54,11004000,
ISAT,2019-05-24,1925,1895,-30,-1.56,5236100,
ISAT,2019-05-23,1800,1925,125,6.94,6189200,
ISAT,2019-05-22,1800,1800,0,0.00,1640300,
ISAT,2019-05-21,1765,1800,35,1.98,3359400,
ISAT,2019-05-20,1715,1765,50,2.92,5652200,
ISAT,2019-05-17,1710,1715,5,0.29,3696400,
ISAT,2019-05-16,1810,1710,-100,-5.52,5177800,
ISAT,2019-05-15,1915,1810,-105,-5.48,3322700,
ISAT,2019-05-14,1965,1915,-50,-2.54,5860000,
ISAT,2019-05-13,2050,1965,-85,-4.15,3486800,
ISAT,2019-05-10,1985,2050,65,3.27,8511700,
ISAT,2019-05-09,2150,1985,-165,-7.67,8209400,
ISAT,2019-05-08,2220,2150,-70,-3.15,2674900,
ISAT,2019-05-07,2270,2220,-50,-2.20,5835300,
ISAT,2019-05-06,2450,2270,-180,-7.35,5763600,
ISAT,2019-05-03,2510,2450,-60,-2.39,2645300,
ISAT,2019-05-02,2610,2510,-100,-3.83,1926000,
ISAT,2019-04-30,2620,2610,-10,-0.38,8155600,
ISAT,2019-04-29,2510,2620,110,4.38,6284200,
ISAT,2019-04-26,2480,2510,30,1.21,4475700,
ISAT,2019-04-25,2520,2480,-40,-1.59,2183700,
ISAT,2019-04-24,2620,2520,-100,-3.82,4105100,
ISAT,2019-04-23,2700,2620,-80,-2.96,5943300,
ISAT,2019-04-22,2740,2700,-40,-1.46,2571900,
ISAT,2019-04-18,2710,2740,30,1.11,3642000,
ISAT,2019-04-16,2710,2710,0,0.00,8631700,
ISAT,2019-04-15,2730,2710,-20,-0.73,4896700,
ISAT,2019-04-12,2550,2730,180,7.06,11929500,
ISAT,2019-04-11,2590,2550,-40,-1.54,1854200,
ISAT,2019-04-10,2600,2590,-10,-0.38,1665800,
ISAT,2019-04-09,2560,2600,40,1.56,3422200,
ISAT,2019-04-08,2620,2560,-60,-2.29,2870500,
ISAT,2019-04-05,2450,2620,170,6.94,6704600,
ISAT,2019-04-04,2330,2450,120,5.15,2145800,
ISAT,2019-04-02,2390,2330,-60,-2.51,4531800,
ISAT,2019-04-01,2500,2390,-110,-4.40,2943900,
ISAT,2019-03-29,2560,2500,-60,-2.34,1247000,
ISAT,2019-03-28,2590,2560,-30,-1.16,1454500,
ISAT,2019-03-27,2550,2590,40,1.57,3257300,
ISAT,2019-03-26,2650,2550,-100,-3.77,5284400,
ISAT,2019-03-25,2810,2650,-160,-5.69,3915100,
ISAT,2019-03-22,2880,2810,-70,-2.43,2464800,
ISAT,2019-03-21,2880,2880,0,0.00,3655400,
ISAT,2019-03-20,3000,2880,-120,-4.00,3456900,
ISAT,2019-03-19,2990,3000,10,0.33,9782700,
ISAT,2019-03-18,2720,2990,270,9.93,12221000,
ISAT,2019-03-15,2710,2720,10,0.37,2809200,
ISAT,2019-03-14,2800,2710,-90,-3.21,4569800,
ISAT,2019-03-13,2670,2800,130,4.87,10469500,
ISAT,2019-03-12,2730,2670,-60,-2.20,3421300,
ISAT,2019-03-11,2830,2730,-100,-3.53,5569400,
ISAT,2019-03-08,3050,2830,-220,-7.21,7734100,
ISAT,2019-03-06,3180,3050,-130,-4.09,5804000,
ISAT,2019-03-05,3180,3180,0,0.00,6469400,
ISAT,2019-03-04,3320,3180,-140,-4.22,3923700,
ISAT,2019-03-01,3300,3320,20,0.61,8330400,
ISAT,2019-02-28,3250,3300,50,1.54,5915000,
ISAT,2019-02-27,3150,3250,100,3.17,7979600,
ISAT,2019-02-26,3400,3150,-250,-7.35,10931100,
ISAT,2019-02-25,3430,3400,-30,-0.87,9841800,
ISAT,2019-02-22,3610,3430,-180,-4.99,9948500,
ISAT,2019-02-21,3600,3610,10,0.28,7663200,
ISAT,2019-02-20,3600,3600,0,0.00,10185400,
